roi_index,roi_name,SubID,groups,r_value,fishZ_r
3,WTPic_Harvord_visual_mask_2mm,15,Patient,-0.0673240239314525,-0.0674260173706374
3,WTPic_Harvord_visual_mask_2mm,16,Patient,0.0734546681722846,0.073587207897619
3,WTPic_Harvord_visual_mask_2mm,17,Patient,0.0659523902346351,0.0660482653385121
3,WTPic_Harvord_visual_mask_2mm,18,Patient,-0.0979143667067084,-0.0982290880452736
3,WTPic_Harvord_visual_mask_2mm,19,Patient,0.318398768668384,0.329864221575558
3,WTPic_Harvord_visual_mask_2mm,20,Patient,-0.0677819927720111,-0.0678860856993074
3,WTPic_Harvord_visual_mask_2mm,21,Patient,0.175672223561811,0.177513565197355
3,WTPic_Harvord_visual_mask_2mm,22,Patient,-0.0435999342507089,-0.0436275929646861
3,WTPic_Harvord_visual_mask_2mm,23,Patient,0.130794364808039,0.131547955442285
3,WTPic_Harvord_visual_mask_2mm,24,Patient,0.324491029873323,0.336658549837224
3,WTPic_Harvord_visual_mask_2mm,25,Patient,0.145409412320145,0.146447453993553
3,WTPic_Harvord_visual_mask_2mm,26,Patient,-0.137462021371612,-0.138337790667064
3,WTPic_Harvord_visual_mask_2mm,27,Patient,0.188169980016037,0.190439293628078
3,WTPic_Harvord_visual_mask_2mm,28,Patient,-0.0450400886669988,-0.0450705820429973
3,WTPic_Harvord_visual_mask_2mm,29,Patient,0.129577239788072,0.130309846361411
3,WTPic_Harvord_visual_mask_2mm,30,Patient,0.156009648387286,0.157294166380576
3,WTPic_Harvord_visual_mask_2mm,31,Patient,0.099960491470229,0.100295440284486
3,WTPic_Harvord_visual_mask_2mm,32,Patient,-0.0538471853836525,-0.0538993197649552
3,WTPic_Harvord_visual_mask_2mm,33,Patient,0.124637477789274,0.125288954544944
